"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACGL","Arch Capital Group Ltd","Financial","Insurance - Diversified","Bermuda",38131.01,8.02,101.55,-0.68%,1367956
2,"AFL","Aflac Inc.","Financial","Insurance - Life","USA",49537.42,9.62,87.18,-0.09%,1509484
3,"AIG","American International Group Inc","Financial","Insurance - Diversified","USA",51480.88,11.58,77.57,0.27%,3747909
4,"AIZ","Assurant Inc","Financial","Insurance - Specialty","USA",8788.91,11.80,169.05,0.28%,624173
5,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",53602.42,49.69,245.32,-1.21%,481195
6,"ALL","Allstate Corp","Financial","Insurance - Property & Casualty","USA",43124.76,35.67,163.50,-0.71%,827852
7,"AMP","Ameriprise Financial Inc","Financial","Asset Management","USA",42506.97,14.57,427.98,-1.61%,385013
8,"AON","Aon plc.","Financial","Insurance Brokers","Ireland",59971.54,21.61,275.82,-1.23%,1128628
9,"AXP","American Express Co.","Financial","Credit Services","USA",169711.64,19.43,235.94,-0.55%,2708847
10,"BAC","Bank Of America Corp.","Financial","Banks - Diversified","USA",302804.74,13.37,38.72,-1.53%,26664097
11,"BEN","Franklin Resources, Inc.","Financial","Asset Management","USA",11963.29,13.04,22.74,-1.43%,3415470
12,"BK","Bank Of New York Mellon Corp","Financial","Asset Management","USA",43194.08,14.06,57.76,-0.82%,2873508
13,"BLK","Blackrock Inc.","Financial","Asset Management","USA",112427.79,19.23,756.58,-1.92%,574858
14,"BRK-B","Berkshire Hathaway Inc.","Financial","Insurance - Diversified","USA",871581.71,11.93,404.09,0.05%,3426775
15,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",24622.78,26.60,86.32,-1.44%,1483972
16,"BX","Blackstone Inc","Financial","Asset Management","USA",140406.97,40.95,116.13,-4.19%,4753837
17,"C","Citigroup Inc","Financial","Banks - Diversified","USA",118280.35,18.32,62.01,-0.70%,7206859
18,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",106196.87,11.61,261.53,-0.42%,1329303
19,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",15561.68,12.36,34.20,-1.33%,3803146
20,"CINF","Cincinnati Financial Corp.","Financial","Insurance - Property & Casualty","USA",17951.17,7.63,114.66,-0.93%,537020
21,"CMA","Comerica, Inc.","Financial","Banks - Regional","USA",6557.90,9.81,49.46,-2.00%,1271311
22,"CME","CME Group Inc","Financial","Financial Data & Stock Exchanges","USA",74132.75,23.45,205.89,-1.25%,2118672
23,"COF","Capital One Financial Corp.","Financial","Credit Services","USA",51807.45,10.62,135.65,-0.71%,1615928
24,"DFS","Discover Financial Services","Financial","Credit Services","USA",30493.01,13.89,121.68,-0.11%,1159391
25,"EG","Everest Group Ltd","Financial","Insurance - Reinsurance","Bermuda",16631.71,5.68,382.69,-1.49%,228277
26,"FDS","Factset Research Systems Inc.","Financial","Financial Data & Stock Exchanges","USA",15921.96,33.07,417.68,-2.19%,313626
27,"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",24803.29,11.56,36.26,-1.15%,2960655
28,"GL","Globe Life Inc","Financial","Insurance - Life","USA",7600.28,7.87,82.37,-1.89%,1255915
29,"GS","Goldman Sachs Group, Inc.","Financial","Capital Markets","USA",147419.04,17.85,457.17,-0.57%,2312955
30,"HBAN","Huntington Bancshares, Inc.","Financial","Banks - Regional","USA",19521.40,12.16,13.47,-1.39%,10421420
31,"HIG","Hartford Financial Services Group Inc.","Financial","Insurance - Property & Casualty","USA",29501.06,11.34,99.75,-0.58%,1644428
32,"ICE","Intercontinental Exchange Inc","Financial","Financial Data & Stock Exchanges","USA",75685.20,30.23,131.95,-1.29%,1471439
33,"IVZ","Invesco Ltd","Financial","Asset Management","USA",6810.43,,15.14,-2.01%,2262082
