"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1,"ACGL",38131.01,373.40,362.67,3.42%,-1.12%,88.62%,-0.11%,1.27%,2.74,1688.60,101.55,-0.68%,1367956
2,"AFL",49537.42,578.48,512.12,9.87%,-0.24%,60.46%,-0.96%,2.89%,6.67,2220.91,87.18,-0.09%,1509484
3,"AIG",51480.88,688.84,661.75,0.29%,-14.73%,92.98%,-3.40%,1.24%,2.06,3976.69,77.57,0.27%,3747909
4,"AIZ",8788.91,51.96,51.59,0.77%,-5.32%,95.46%,-6.49%,1.74%,2.71,331.39,169.05,0.28%,624173
5,"AJG",53602.42,216.70,215.98,1.15%,-4.87%,86.16%,1.87%,0.99%,2.68,796.35,245.32,-1.21%,481195
6,"ALL",43124.76,263.76,262.22,0.58%,-5.30%,78.71%,1.15%,0.96%,1.53,1641.27,163.50,-0.71%,827852
7,"AMP",42506.97,100.17,99.06,0.27%,-30.10%,86.18%,-1.50%,1.02%,2.07,487.78,427.98,-1.61%,385013
8,"AON",59971.54,217.43,214.70,1.26%,-0.74%,80.52%,-1.43%,1.58%,2.70,1260.69,275.82,-1.23%,1128628
9,"AXP",169711.64,723.00,718.39,0.13%,-36.95%,86.52%,-0.49%,1.20%,3.00,2862.56,235.94,-0.55%,2708847
10,"BAC",302804.74,7895.46,7807.07,0.17%,0.00%,73.10%,0.34%,0.89%,1.83,38068.02,38.72,-1.53%,26664099
11,"BEN",11963.29,495.94,253.69,51.78%,-0.02%,44.75%,1.18%,7.57%,4.98,3853.21,22.74,-1.43%,3415470
12,"BK",43194.08,759.34,745.69,0.28%,-7.39%,85.64%,-0.02%,1.18%,2.56,3433.43,57.76,-0.82%,2873508
13,"BLK",112427.79,148.50,146.97,1.10%,-8.23%,82.40%,1.02%,1.15%,2.80,607.02,756.58,-1.92%,574858
14,"BRK-B",871581.71,1310.56,1306.18,39.44%,0.00%,39.95%,,0.82%,3.35,3190.89,404.09,0.05%,3426775
15,"BRO",24622.78,284.60,235.48,17.45%,-0.47%,73.45%,-0.93%,1.15%,2.24,1210.07,86.32,-1.44%,1483972
16,"BX",140406.97,719.36,707.17,41.51%,-1.30%,41.43%,0.80%,2.56%,4.94,3668.65,116.13,-4.19%,4753837
17,"C",118280.35,1903.11,1901.55,0.31%,0.00%,75.39%,-0.03%,1.49%,2.01,14145.80,62.01,-0.70%,7206859
18,"CB",106196.87,405.27,403.73,0.58%,-8.45%,91.59%,-0.57%,0.62%,1.47,1698.45,261.53,-0.42%,1329303
19,"CFG",15561.68,466.42,451.55,0.76%,-0.31%,95.22%,-0.02%,3.07%,2.72,5099.19,34.20,-1.33%,3803146
20,"CINF",17951.17,157.00,153.70,1.83%,0.17%,67.13%,2.21%,1.45%,2.54,878.75,114.66,-0.93%,537020
21,"CMA",6557.90,131.90,131.44,0.87%,-1.02%,82.54%,1.05%,3.94%,2.64,1962.75,49.46,-2.00%,1271311
22,"CME",74132.75,359.23,358.76,0.36%,-4.90%,89.00%,0.50%,1.09%,2.35,1671.99,205.89,-1.25%,2118672
23,"COF",51807.45,380.39,376.67,1.38%,-2.47%,93.54%,-0.04%,3.06%,5.09,2267.71,135.65,-0.71%,1615928
24,"DFS",30493.01,250.10,248.73,0.74%,-1.86%,85.53%,-1.45%,0.81%,1.45,1387.62,121.68,-0.11%,1159391
25,"EG",16631.71,43.40,42.86,1.39%,0.48%,95.43%,0.21%,1.80%,2.43,318.11,382.69,-1.49%,228277
26,"FDS",15921.96,38.12,38.03,0.22%,-44.14%,93.51%,0.94%,5.04%,7.38,259.90,417.68,-2.19%,313626
