"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"ACGL",-0.10%,11.29%,15.03%,16.72%,43.03%,36.73%,1.60%,1.80%,1.72,1688.60,0.81,101.55,-0.68%,1367956
2,"AFL",-0.47%,3.12%,8.22%,5.07%,35.18%,5.67%,0.95%,1.66%,2.93,2220.91,0.68,87.18,-0.09%,1509484
3,"AIG",-1.41%,2.42%,7.10%,18.88%,43.46%,14.49%,1.35%,1.70%,1.86,3976.69,0.94,77.57,0.27%,3747909
4,"AIZ",-1.36%,-3.58%,-7.24%,0.40%,35.48%,0.33%,1.48%,2.05%,1.62,331.39,1.88,169.05,0.28%,624173
5,"AJG",-4.86%,5.04%,-0.06%,-2.77%,20.37%,9.09%,1.31%,1.42%,2.05,796.35,0.60,245.32,-1.21%,481195
6,"ALL",-2.79%,-3.59%,1.81%,18.94%,49.27%,16.80%,1.44%,1.72%,1.83,1641.27,0.50,163.50,-0.71%,827852
7,"AMP",-1.41%,2.79%,4.22%,22.47%,38.45%,12.68%,1.47%,1.32%,2.13,487.78,0.79,427.98,-1.61%,385013
8,"AON",-4.88%,-1.86%,-13.17%,-15.79%,-11.22%,-5.22%,1.48%,1.65%,3.04,1260.69,0.90,275.82,-1.23%,1128628
9,"AXP",-2.94%,-1.25%,8.21%,43.83%,50.05%,25.94%,1.51%,1.47%,2.26,2862.56,0.95,235.94,-0.55%,2708847
10,"BAC",-2.35%,3.12%,12.85%,30.99%,36.77%,15.00%,1.89%,1.60%,2.30,38068.02,0.70,38.72,-1.53%,26664099
11,"BEN",-4.73%,-2.74%,-15.81%,-4.09%,-7.60%,-23.67%,1.71%,2.07%,3.79,3853.21,0.89,22.74,-1.43%,3415470
12,"BK",-2.23%,0.75%,3.81%,22.89%,41.64%,10.97%,1.27%,1.29%,1.90,3433.43,0.84,57.76,-0.82%,2873508
13,"BLK",-6.01%,-0.62%,-6.56%,3.54%,12.54%,-6.80%,1.61%,1.35%,1.53,607.02,0.95,756.58,-1.92%,574858
14,"BRK-B",-2.48%,0.78%,-1.95%,11.83%,26.04%,13.30%,1.21%,1.07%,2.00,3190.89,1.07,404.09,0.05%,3426775
15,"BRO",-3.93%,5.86%,1.82%,15.14%,37.30%,21.39%,1.54%,1.35%,2.36,1210.07,1.23,86.32,-1.44%,1483972
16,"BX",-9.07%,-3.72%,-7.74%,9.72%,37.76%,-10.54%,2.61%,2.89%,2.48,3668.65,1.30,116.13,-4.19%,4753837
17,"C",-4.22%,-0.40%,12.64%,37.56%,39.04%,20.55%,2.05%,1.77%,1.78,14145.80,0.51,62.01,-0.70%,7206859
