"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"ACGL",0.60,1.73,2.66%,7.27%,19.88%,-2.16%,47.07%,62.07,101.55,-0.68%,-0.78%,0.10%,1367956
2,"AFL",0.95,1.23,1.31%,3.05%,7.70%,-1.59%,36.02%,58.53,87.18,-0.09%,0.23%,-0.32%,1509484
3,"AIG",1.09,1.34,-1.42%,0.83%,13.97%,-4.03%,46.97%,48.65,77.57,0.27%,0.60%,-0.32%,3747909
4,"AIZ",0.55,3.23,-3.09%,-4.36%,3.15%,-10.78%,42.72%,38.55,169.05,0.28%,0.46%,-0.18%,624173
5,"AJG",0.72,3.59,-1.29%,0.33%,3.16%,-5.41%,23.57%,45.57,245.32,-1.21%,-1.00%,-0.21%,481195
6,"ALL",0.49,2.83,-3.00%,-3.18%,14.31%,-7.82%,62.57%,39.32,163.50,-0.71%,-0.49%,-0.22%,827852
7,"AMP",1.36,6.58,-0.38%,0.38%,13.68%,-3.34%,44.76%,48.96,427.98,-1.61%,-0.86%,-0.75%,385013
8,"AON",0.90,4.98,-3.56%,-9.24%,-12.31%,-20.60%,2.89%,31.69,275.82,-1.23%,-0.87%,-0.37%,1128628
9,"AXP",1.22,3.71,-0.82%,2.27%,24.73%,-3.47%,67.44%,49.91,235.94,-0.55%,0.21%,-0.76%,2708847
10,"BAC",1.36,0.70,0.75%,3.07%,19.55%,-2.81%,55.13%,53.36,38.72,-1.53%,-0.31%,-1.22%,26664099
11,"BEN",1.46,0.48,-3.74%,-9.96%,-12.07%,-25.00%,3.93%,33.05,22.74,-1.43%,-0.04%,-1.39%,3415470
12,"BK",1.07,0.84,-0.56%,1.18%,13.79%,-3.25%,45.64%,48.79,57.76,-0.82%,0.19%,-1.01%,2873508
13,"BLK",1.34,12.57,-3.76%,-4.08%,1.66%,-10.46%,26.90%,35.97,756.58,-1.92%,-0.88%,-1.05%,574858
14,"BRK-B",0.87,4.64,-0.93%,-1.22%,7.13%,-6.03%,26.67%,43.40,404.09,0.05%,0.27%,-0.22%,3426775
15,"BRO",0.82,1.24,-0.68%,1.36%,11.92%,-5.87%,39.88%,47.99,86.32,-1.44%,-0.91%,-0.54%,1483972
16,"BX",1.52,3.63,-5.65%,-6.64%,0.71%,-12.74%,43.04%,37.78,116.13,-4.19%,-2.41%,-1.82%,4753837
17,"C",1.46,1.22,-1.60%,0.43%,21.78%,-4.57%,62.46%,46.80,62.01,-0.70%,0.73%,-1.43%,7206859
18,"CB",0.66,4.48,1.59%,3.03%,12.85%,-5.04%,42.36%,55.05,261.53,-0.42%,-0.51%,0.09%,1329303
19,"CFG",1.34,0.77,-4.41%,-2.30%,11.48%,-8.31%,50.20%,39.81,34.20,-1.33%,0.71%,-2.02%,3803146
20,"CINF",0.66,1.79,-2.57%,-3.35%,5.05%,-7.79%,20.68%,40.40,114.66,-0.93%,-0.67%,-0.27%,537020
21,"CMA",1.26,1.39,-6.48%,-5.72%,1.20%,-13.82%,41.80%,36.06,49.46,-2.00%,-0.18%,-1.82%,1271311
22,"CME",0.53,3.74,-2.11%,-2.75%,-0.88%,-7.52%,20.10%,41.19,205.89,-1.25%,-1.01%,-0.24%,2118672
23,"COF",1.44,2.46,-4.06%,-4.56%,10.96%,-9.53%,53.75%,32.23,135.65,-0.71%,0.62%,-1.32%,1615928
24,"DFS",1.40,2.09,-2.16%,-2.61%,15.39%,-7.57%,53.95%,41.11,121.68,-0.11%,1.03%,-1.13%,1159391
25,"EG",0.62,6.94,0.08%,0.93%,1.23%,-8.43%,15.59%,50.30,382.69,-1.49%,-0.78%,-0.71%,228277
26,"FDS",0.75,7.02,-4.42%,-4.69%,-6.81%,-14.52%,9.64%,33.14,417.68,-2.19%,-1.45%,-0.75%,313626
27,"FITB",1.25,0.74,-4.19%,-1.20%,15.18%,-7.36%,61.23%,40.85,36.26,-1.15%,0.78%,-1.91%,2960655
28,"GL",0.81,4.37,-1.59%,-7.83%,-25.70%,-37.60%,111.48%,46.89,82.37,-1.89%,-0.96%,-0.94%,1255915
29,"GS",1.38,7.44,0.98%,7.31%,23.77%,-3.04%,58.00%,59.46,457.17,-0.57%,0.51%,-1.08%,2312955
30,"HBAN",1.09,0.27,-3.17%,-1.39%,11.28%,-5.77%,45.62%,41.43,13.47,-1.39%,0.04%,-1.43%,10421420
31,"HIG",0.92,1.42,-0.62%,-0.29%,17.65%,-3.76%,47.95%,47.56,99.75,-0.58%,-0.35%,-0.23%,1644428
32,"ICE",1.06,2.05,-1.52%,-1.68%,6.73%,-6.04%,27.11%,42.56,131.95,-1.29%,-0.57%,-0.73%,1471439
33,"IVZ",1.45,0.36,-1.69%,-2.89%,-1.17%,-19.08%,21.31%,43.02,15.14,-2.01%,-0.13%,-1.88%,2262082
34,"JPM",1.10,3.36,0.52%,1.76%,17.63%,-3.77%,47.40%,52.84,198.11,-0.70%,0.06%,-0.75%,6114915
35,"KEY",1.26,0.37,-6.96%,-6.83%,6.04%,-12.23%,52.97%,33.13,13.92,-1.90%,0.22%,-2.11%,13504653
36,"L",0.84,0.98,-3.14%,-2.80%,5.73%,-5.65%,32.48%,38.12,74.11,0.12%,0.65%,-0.53%,789794
37,"MA",1.08,6.01,-2.32%,-4.57%,2.62%,-9.70%,23.65%,31.69,442.47,-0.59%,0.08%,-0.67%,1876929
38,"MCO",1.28,6.61,0.23%,2.41%,9.41%,-4.28%,33.80%,51.17,399.88,-1.46%,-0.26%,-1.20%,656105
39,"MET",1.05,1.27,-2.38%,-2.38%,5.41%,-5.67%,42.65%,41.58,70.44,-0.76%,0.11%,-0.87%,1872331
40,"MKTX",1.04,6.04,-4.30%,-5.44%,-13.55%,-32.74%,1.21%,39.17,200.41,-2.88%,-1.74%,-1.16%,444808
41,"MMC",0.92,2.41,-1.55%,-0.73%,2.41%,-4.52%,17.78%,41.77,201.96,-0.99%,-0.49%,-0.50%,1443954
42,"MS",1.37,1.73,-0.17%,3.65%,12.73%,-5.79%,40.12%,52.05,97.27,-1.42%,-0.10%,-1.32%,4679597
43,"MSCI",1.11,11.76,0.74%,-4.14%,-7.55%,-20.68%,11.32%,46.26,489.74,-1.20%,-0.27%,-0.93%,663462
44,"MTB",0.77,2.90,-3.44%,0.21%,8.79%,-7.02%,34.21%,41.58,145.66,-2.12%,-0.36%,-1.77%,657240
45,"NDAQ",0.95,1.08,-2.09%,-2.38%,7.39%,-6.85%,27.67%,41.65,59.85,-0.58%,0.23%,-0.81%,2030600
46,"NTRS",1.10,1.45,-3.47%,-3.62%,3.96%,-8.43%,30.90%,36.39,81.73,-0.43%,0.63%,-1.05%,1255739
47,"PFG",1.23,1.28,-2.79%,-2.65%,3.80%,-7.40%,23.33%,40.15,80.37,-0.92%,0.14%,-1.06%,679095
48,"PGR",0.34,3.72,-3.28%,-2.75%,17.91%,-6.71%,83.15%,41.10,203.15,-0.99%,-0.63%,-0.37%,3075842
49,"PNC",1.14,2.64,-3.57%,-2.95%,7.94%,-6.83%,38.17%,38.51,151.16,-0.77%,0.70%,-1.46%,1832917
50,"PRU",1.33,1.84,0.47%,2.45%,13.85%,-3.22%,49.86%,53.26,117.49,-0.20%,0.54%,-0.74%,1106924
51,"PYPL",1.42,1.51,-5.12%,-5.64%,0.60%,-20.24%,21.49%,37.40,61.05,-1.80%,-0.29%,-1.51%,8132436
52,"RF",1.19,0.40,-5.39%,-5.54%,2.21%,-11.57%,35.91%,33.46,18.64,-2.20%,-0.37%,-1.84%,8225882
53,"RJF",1.02,2.08,-2.57%,-2.75%,8.75%,-7.23%,34.97%,40.48,121.71,-1.48%,-0.72%,-0.77%,627137
54,"SCHW",0.94,1.68,-6.94%,-4.14%,10.71%,-11.27%,44.94%,35.16,70.53,-0.37%,0.90%,-1.26%,5617341
55,"SPGI",1.15,6.48,-1.39%,0.02%,3.38%,-7.85%,24.81%,44.38,424.96,-1.40%,-0.31%,-1.10%,870757
56,"STT",1.49,1.24,-2.38%,-1.84%,2.39%,-7.60%,17.60%,40.70,73.83,-0.11%,1.07%,-1.16%,1760509
57,"SYF",1.59,1.04,-4.90%,-1.53%,15.80%,-9.29%,55.27%,41.44,42.38,-1.94%,-0.59%,-1.37%,4891691
58,"TFC",1.05,0.83,-3.95%,-1.74%,10.13%,-7.53%,41.01%,40.68,37.46,-0.77%,0.86%,-1.62%,6294496
59,"TROW",1.43,2.03,1.15%,0.29%,6.80%,-13.18%,31.83%,51.74,115.26,-0.92%,0.79%,-1.69%,908071
60,"TRV",0.62,3.22,-2.60%,-4.22%,8.81%,-9.74%,33.52%,38.25,210.07,-0.14%,-0.35%,0.21%,1404772
61,"USB",1.05,0.83,-5.29%,-6.81%,-0.26%,-14.85%,33.11%,33.30,39.04,-1.84%,-0.31%,-1.53%,6229482
62,"V",0.96,3.56,-2.34%,-2.77%,3.25%,-7.60%,24.39%,35.91,268.86,-0.78%,-0.05%,-0.73%,5467755
63,"WFC",1.17,1.04,-3.18%,-0.53%,19.71%,-6.08%,53.05%,41.43,58.75,-1.23%,-0.20%,-1.03%,12828491
64,"WRB",0.62,1.21,-1.02%,-4.69%,5.94%,-12.60%,42.54%,41.47,77.95,-0.79%,-0.47%,-0.32%,1292666
65,"WTW",0.74,3.67,-1.71%,-4.48%,3.14%,-10.46%,27.85%,38.36,249.68,-0.38%,-0.42%,0.04%,365455
