,time,Symbol,open,high,low,close,impVolatility
0,2023-05-08,AMD,89.99,95.655,89.17,95.04,0.4481
1,2023-05-09,AMD,94.89,96.16,93.4281,95.06,0.4444
2,2023-05-10,AMD,96.42,99.94,96.12,97.02,0.4385
3,2023-05-11,AMD,98.155,99.19,96.14,97.1,0.4358
4,2023-05-12,AMD,96.83,97.45,93.68,95.26,0.4264
5,2023-05-15,AMD,95.2,97.43,93.45,97.4,0.4392
6,2023-05-16,AMD,97.39,103.28,97.31,101.48,0.4575
7,2023-05-17,AMD,101.79,104.14,100.05,103.75,0.4502
8,2023-05-18,AMD,103.98,108.1,103.93,107.93,0.4455
9,2023-05-19,AMD,106.36,107.29,104.6201,105.82,0.4448
10,2023-05-22,AMD,104.68,108.79,103.4923,108.0,0.4543
11,2023-05-23,AMD,107.25,110.99,107.19,108.12,0.4606
12,2023-05-24,AMD,105.98,108.91,105.64,108.27,0.43
13,2023-05-25,AMD,117.305,120.69,115.8,120.35,0.3627
14,2023-05-26,AMD,122.46,127.43,120.89,127.03,0.4946
15,2023-05-30,AMD,130.415,130.79,123.51,125.27,0.5232
16,2023-05-31,AMD,122.42,123.96,117.86,118.21,0.5018
17,2023-06-01,AMD,117.29,121.28,116.6,119.47,0.4927
18,2023-06-02,AMD,120.75,121.66,117.675,117.86,0.4696
19,2023-06-05,AMD,116.59,119.32,116.42,117.93,0.4697
20,2023-06-06,AMD,117.91,124.42,117.74,124.23,0.4753
21,2023-06-07,AMD,124.025,125.34,117.07,117.83,0.4818
22,2023-06-08,AMD,118.295,122.21,117.05,121.05,0.4948
23,2023-06-09,AMD,123.57,127.25,123.55,124.92,0.5358
24,2023-06-12,AMD,128.52,130.48,126.4,129.19,0.5194
25,2023-06-13,AMD,132.32,132.83,122.45,124.53,0.4701
26,2023-06-14,AMD,126.525,127.725,123.81,127.33,0.471
27,2023-06-15,AMD,125.39,125.7,122.26,124.24,0.4693
28,2023-06-16,AMD,125.82,125.85,119.9,120.08,0.4597
29,2023-06-20,AMD,119.085,121.75,117.7,118.93,0.4651
30,2023-06-21,AMD,118.485,119.1888,111.67,112.11,0.4579
31,2023-06-22,AMD,112.24,114.0,109.85,110.7,0.4449
32,2023-06-23,AMD,109.31,111.0957,107.46,110.01,0.4455
33,2023-06-26,AMD,110.95,112.55,107.2,107.51,0.4537
34,2023-06-27,AMD,108.565,110.97,107.08,110.39,0.4547
35,2023-06-28,AMD,108.21,111.78,107.63,110.17,0.4434
36,2023-06-29,AMD,112.065,112.7599,109.84,111.24,0.4562
37,2023-06-30,AMD,113.03,114.69,112.41,113.91,0.4446
38,2023-07-03,AMD,115.16,116.73,114.51,115.82,0.4893
39,2023-07-05,AMD,116.1,117.662,113.855,113.95,0.5123
40,2023-07-06,AMD,112.07,113.79,110.31,113.48,0.5093
41,2023-07-07,AMD,114.16,115.33,113.04,113.17,0.4991
42,2023-07-10,AMD,113.0,113.61,109.88,113.58,0.4998
43,2023-07-11,AMD,111.66,113.27,109.5,111.32,0.508
44,2023-07-12,AMD,112.89,115.3999,112.3101,114.58,0.4884
45,2023-07-13,AMD,115.76,116.16,113.575,115.92,0.4998
46,2023-07-14,AMD,116.17,122.12,115.25,115.94,0.5191
47,2023-07-17,AMD,115.95,118.8399,112.73,118.32,0.5284
48,2023-07-18,AMD,117.55,118.43,115.192,117.93,0.5299
49,2023-07-19,AMD,121.3,121.6699,115.55,116.43,0.5472
50,2023-07-20,AMD,114.96,115.05,109.24,110.25,0.5452
51,2023-07-21,AMD,110.97,112.3,109.54,110.95,0.5206
52,2023-07-24,AMD,110.617,111.31,108.55,110.61,0.5255
53,2023-07-25,AMD,111.14,114.05,111.0,113.0,0.5323
54,2023-07-26,AMD,111.91,112.36,109.3,110.09,0.5319
55,2023-07-27,AMD,111.79,115.08,110.51,111.1,0.5355
56,2023-07-28,AMD,113.38,114.86,112.44,112.96,0.5264
57,2023-07-31,AMD,114.16,114.68,112.35,114.4,0.5594
58,2023-08-01,AMD,114.26,118.19,113.16,117.6,0.5445
59,2023-08-02,AMD,119.49,119.5,107.38,109.35,0.4775
60,2023-08-03,AMD,108.95,114.96,108.95,113.15,0.4537
61,2023-08-04,AMD,114.48,118.85,113.96,115.82,0.4505
62,2023-08-07,AMD,116.36,119.08,115.49,116.81,0.4429
63,2023-08-08,AMD,114.94,115.46,111.41,113.23,0.4506
64,2023-08-09,AMD,112.89,113.15,108.78,110.47,0.4556
65,2023-08-10,AMD,111.3,113.89,109.47,110.23,0.4456
66,2023-08-11,AMD,108.85,109.07,106.48,107.57,0.436
67,2023-08-14,AMD,106.75,111.99,105.42,111.98,0.4382
68,2023-08-15,AMD,111.99,113.18,110.17,111.35,0.4558
69,2023-08-16,AMD,110.0863,110.4388,106.98,107.19,0.4653
70,2023-08-17,AMD,107.62,107.85,104.1,104.44,0.4641
71,2023-08-18,AMD,102.4,106.07,101.68,105.45,0.4546
72,2023-08-21,AMD,106.2,108.54,105.67,108.22,0.4574
73,2023-08-22,AMD,109.4,109.72,104.85,105.66,0.4728
74,2023-08-23,AMD,105.65,110.08,105.0,109.43,0.4611
75,2023-08-24,AMD,111.06,111.64,100.871,101.8,0.3902
76,2023-08-25,AMD,101.165,104.12,99.58,102.25,0.4293
77,2023-08-28,AMD,103.47,104.07,100.8944,102.61,0.4263
78,2023-08-29,AMD,102.11,106.57,101.79,105.92,0.413
79,2023-08-30,AMD,105.402,107.67,104.5,106.59,0.4056
80,2023-08-31,AMD,106.19,108.06,104.86,105.72,0.4033
81,2023-09-01,AMD,107.0,110.06,106.61,109.45,0.3915
82,2023-09-05,AMD,109.0,111.82,106.3,110.78,0.4145
83,2023-09-06,AMD,110.56,111.33,108.22,109.28,0.4167
84,2023-09-07,AMD,106.14,107.69,105.09,106.59,0.4212
85,2023-09-08,AMD,107.02,109.737,105.75,106.09,0.4043
86,2023-09-11,AMD,104.8,104.8,104.8,104.8,NaN
87,2023-09-12,AMD,104.2,106.74,103.18,105.31,NaN
88,2023-09-13,AMD,105.1,108.74,104.83,107.71,0.3872
89,2023-09-14,AMD,108.43,109.1494,106.2212,106.63,0.3797
90,2023-09-15,AMD,106.07,106.76,101.28,101.49,0.3935
91,2023-09-18,AMD,100.815,102.99,99.45,102.37,0.4122
92,2023-09-19,AMD,101.75,102.8582,100.7,101.61,0.4141
93,2023-09-20,AMD,102.36,103.94,100.28,100.34,0.4195
94,2023-09-21,AMD,98.6,98.87,95.84,96.11,0.4422
95,2023-09-22,AMD,96.92,98.42,95.61,96.2,0.439
96,2023-09-25,AMD,95.95,97.45,94.46,97.38,0.4383
97,2023-09-26,AMD,96.5,97.83,95.27,95.96,0.4608
98,2023-09-27,AMD,96.82,99.23,96.35,98.07,0.4542
99,2023-09-28,AMD,97.94,104.2,97.76,102.76,0.4585
100,2023-09-29,AMD,104.69,104.94,102.56,102.82,0.4584
101,2023-10-02,AMD,102.21,103.71,101.7,103.27,0.497
102,2023-10-03,AMD,101.7963,103.29,99.17,100.08,0.5404
103,2023-10-04,AMD,100.65,104.4,100.34,104.07,0.5294
104,2023-10-05,AMD,103.405,103.74,100.27,102.91,0.5385
105,2023-10-06,AMD,102.16,107.87,102.03,107.24,0.5242
106,2023-10-09,AMD,106.01,107.31,104.79,106.97,0.5357
107,2023-10-10,AMD,107.49,110.12,106.4,109.01,0.528
108,2023-10-11,AMD,109.14,110.1,106.93,108.31,0.5252
109,2023-10-12,AMD,108.4,111.31,107.5101,108.79,0.5262
110,2023-10-13,AMD,108.65,108.97,104.75,105.09,0.5494
111,2023-10-16,AMD,105.42,107.48,105.03,106.46,0.535
112,2023-10-17,AMD,103.54,106.29,101.6601,105.14,0.5388
113,2023-10-18,AMD,103.38,104.78,101.74,102.17,0.5584
114,2023-10-19,AMD,103.81,105.6,101.84,102.4,0.5593
115,2023-10-20,AMD,102.28,104.34,101.44,101.81,0.5591
116,2023-10-23,AMD,100.812,102.42,99.315,100.01,0.5637
117,2023-10-24,AMD,100.97,101.7899,99.38,101.67,0.5572
118,2023-10-25,AMD,100.42,101.03,95.23,96.055,0.5908
119,2023-10-26,AMD,95.99,97.52,93.115,93.67,0.5798
120,2023-10-27,AMD,95.8,97.35,94.59,96.43,0.5665
121,2023-10-30,AMD,96.14,97.04,94.7,96.18,0.5622
122,2023-10-31,AMD,96.235,98.8188,94.07,98.5,0.5491
123,2023-11-01,AMD,98.58,108.15,98.5,108.04,0.4369
124,2023-11-02,AMD,107.96,109.405,105.91,107.83,0.4284
125,2023-11-03,AMD,109.05,113.39,107.86,112.25,0.4147
126,2023-11-06,AMD,112.6,113.08,110.22,111.75,0.4325
127,2023-11-07,AMD,111.86,114.65,111.22,113.45,0.4373
128,2023-11-08,AMD,113.55,115.3166,112.88,113.59,0.4488
129,2023-11-09,AMD,114.095,115.81,113.06,113.49,0.4397
130,2023-11-10,AMD,114.35,119.7,114.03,118.59,0.438
131,2023-11-13,AMD,118.34,118.68,116.0,116.79,0.445
132,2023-11-14,AMD,119.7,122.11,119.22,119.88,0.4311
133,2023-11-15,AMD,120.54,120.59,116.8701,118.0,0.436
134,2023-11-16,AMD,117.2,120.726,116.41,119.83,0.4302
135,2023-11-17,AMD,119.64,121.49,118.82,120.62,0.4248
136,2023-11-20,AMD,120.7,121.93,120.07,121.53,0.4204
137,2023-11-21,AMD,120.54,120.65,117.94,119.16,0.4316
138,2023-11-22,AMD,120.0,124.7623,119.9516,122.51,0.3354
139,2023-11-24,AMD,122.03,123.25,121.54,122.31,0.3746
140,2023-11-27,AMD,122.07,123.89,121.772,122.65,0.3752
141,2023-11-28,AMD,121.98,122.54,120.79,122.01,0.3646
142,2023-11-29,AMD,123.98,125.725,123.48,123.85,0.3587
143,2023-11-30,AMD,123.61,124.05,119.65,121.16,0.3624
144,2023-12-01,AMD,119.88,121.4001,118.645,121.39,0.3563
145,2023-12-04,AMD,119.75,119.9,116.37,118.57,0.3764
146,2023-12-05,AMD,117.43,118.49,116.45,118.38,0.3755
147,2023-12-06,AMD,120.69,122.8313,116.38,116.82,0.3629
148,2023-12-07,AMD,120.785,128.68,119.56,128.37,0.3782
149,2023-12-08,AMD,129.54,131.0,126.89,128.92,0.3723
150,2023-12-11,AMD,130.56,135.04,128.25,134.41,0.3914
151,2023-12-12,AMD,132.25,139.89,131.9,137.61,0.3859
152,2023-12-13,AMD,137.97,139.24,136.0303,138.19,0.3764
153,2023-12-14,AMD,138.89,141.82,135.725,138.0,0.3863
154,2023-12-15,AMD,139.52,140.89,137.25,139.15,0.377
155,2023-12-18,AMD,139.15,139.79,137.65,138.9,0.3759
156,2023-12-19,AMD,138.57,143.47,138.555,140.15,0.3806
157,2023-12-20,AMD,139.0,139.58,135.37,135.47,0.3942
158,2023-12-21,AMD,138.14,139.98,137.38,139.91,0.3859
159,2023-12-22,AMD,140.48,140.7,138.31,139.6,0.3762
160,2023-12-26,AMD,140.07,143.85,139.92,143.41,0.3893
161,2023-12-27,AMD,144.72,146.25,143.18,146.07,0.3927
162,2023-12-28,AMD,146.8,150.41,145.9506,148.76,0.4017
163,2023-12-29,AMD,149.5,151.05,147.2,147.41,0.4112
164,2024-01-02,AMD,144.28,144.4,137.43,138.58,0.4748
165,2024-01-03,AMD,135.71,137.43,133.7413,135.32,0.4793
166,2024-01-04,AMD,134.3,137.7,134.0,136.01,0.4792
167,2024-01-05,AMD,136.78,141.01,136.4377,138.58,0.4699
168,2024-01-08,AMD,140.36,147.15,140.15,146.18,0.4821
169,2024-01-09,AMD,145.95,149.86,145.08,149.26,0.4826
170,2024-01-10,AMD,150.07,150.88,146.65,148.54,0.4829
171,2024-01-11,AMD,148.52,150.38,143.69,148.02,0.4793
172,2024-01-12,AMD,148.04,148.75,145.0,146.56,0.4726
173,2024-01-16,AMD,150.36,159.715,149.98,158.74,0.495
174,2024-01-17,AMD,158.45,160.64,154.4,160.17,0.524
175,2024-01-18,AMD,166.2,168.6,158.22,162.67,0.5163
176,2024-01-19,AMD,165.8,174.25,162.2,174.23,0.513
177,2024-01-22,AMD,174.39,174.72,164.15,168.18,0.5506
178,2024-01-23,AMD,166.5,169.6299,164.27,168.42,0.519
179,2024-01-24,AMD,172.55,180.58,170.56,178.29,0.5428
180,2024-01-25,AMD,183.41,184.92,177.63,180.33,0.5978
181,2024-01-26,AMD,175.29,181.23,174.15,177.25,0.5873
182,2024-01-29,AMD,178.77,178.885,174.4,177.83,0.594
183,2024-01-30,AMD,176.13,178.48,169.52,172.06,0.6306
184,2024-01-31,AMD,165.74,171.3,162.5602,167.69,0.4498
185,2024-02-01,AMD,169.27,171.14,165.86,170.48,0.4274
186,2024-02-02,AMD,173.79,179.0,173.05,177.66,0.4389
187,2024-02-05,AMD,179.09,180.01,171.11,174.23,0.458
188,2024-02-06,AMD,173.15,173.88,165.5,167.88,0.4629
189,2024-02-07,AMD,169.47,172.97,168.2,170.94,0.4503
190,2024-02-08,AMD,170.33,172.17,168.6,169.35,0.4538
191,2024-02-09,AMD,171.0,175.1,168.6601,172.48,0.466
192,2024-02-12,AMD,172.68,177.405,170.67,171.91,0.4866
193,2024-02-13,AMD,167.94,173.17,164.3,171.54,0.4901
194,2024-02-14,AMD,173.47,178.74,172.88,178.7,0.4941
195,2024-02-15,AMD,179.14,180.5,175.26,176.76,0.4899
196,2024-02-16,AMD,177.45,180.3301,173.25,173.87,0.4919
197,2024-02-20,AMD,171.14,171.81,162.0,165.69,0.5197
198,2024-02-21,AMD,162.74,164.9,161.81,164.29,0.4807
199,2024-02-22,AMD,173.2,183.83,172.0,181.86,0.4078
200,2024-02-23,AMD,181.86,183.8,174.55,176.52,0.4623
201,2024-02-26,AMD,178.78,179.84,174.81,176.01,0.468
202,2024-02-27,AMD,175.92,178.46,172.49,178.0,0.463
203,2024-02-28,AMD,176.25,176.84,173.59,176.54,0.4554
204,2024-02-29,AMD,179.82,193.0,179.82,192.53,0.4808
